categoria|status|monto|nog|nit_proveedor|nit_comprador|descripcion|fecha_publicada|modalidad_compra|tipo_ofertas|fecha_presentacion_ofertas|nombre_comprador|unidades|fecha_adjudicada|fecha_cierre_ofertas
Salud e insumos hospitalarios|Terminado adjudicado|Q180.00|4928873|15292355|2342855|TRIMETOPRIM CON SULFAMETOXAZOL (COTRIMOXAZOL) TABLETA 160 MG + 800 MG|25.mayo.2016 Hora:12:46:17 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|27.mayo.2016 Hora:10:30:00 a. m.|CONSULTORIO IGSS FCA. SANTA LEONARDA VILLA CANALES|1|01.junio.2016 Hora:2:23:17 p. m.|27.mayo.2016 Hora:11:00:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q90,000.00|4937449|25038923|2318024|Nitroglicerina solución inyectable 5 mg/ml Ampolla o Vial.|26.mayo.2016 Hora:4:13:30 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|30.mayo.2016 Hora:8:00:00 a. m.|HOSPITAL GENERAL SAN JUAN DE DIOS|1|01.junio.2016 Hora:2:34:45 p. m.|30.mayo.2016 Hora:8:30:00 a. m.
1. Salud e insumos hospitalarios~2. Otros tipos de bienes o servicios|Terminado adjudicado|Q17,863.39|4885244|2967138|2342855|PANEL DE SECUENCIACION DE GENES DE CRANEOSINOSTOSIS|17.mayo.2016 Hora:11:41:09 a. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|19.mayo.2016 Hora:1:30:00 p. m.|UNIDAD PERIFERICA ZONA 5|1|01.junio.2016 Hora:3:23:57 p. m.|19.mayo.2016 Hora:2:00:00 p. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q7,521.43|4862414|4123670|2342855|CODIGO 7455 SUTURA NO ABSORBIBLE SINTÉTICA MONOFILAMENTO No. 2-0,  AGUJA CURVA, 3/8 DE CÍRCULO, PUNTA TRIANGULAR REVERSO CORTANTE, TRIANGULAR 2.3.3.3.1. (26MM). EMPAQUE INDIVIDUAL, ESTÉRIL, LIBRE ..|11.mayo.2016 Hora:4:53:53 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|16.mayo.2016 Hora:8:00:00 a. m.|HOSPITAL DE ESCUINTLA|1|01.junio.2016 Hora:9:06:25 a. m.|16.mayo.2016 Hora:8:30:00 a. m.
1. Papelería y artículos de librería~2. Publicidad, campañas y vallas~3. Salud e insumos hospitalarios~4. Otros tipos de bienes o servicios|Terminado adjudicado|Q11,696.00|4915704|1539418|2318024|Adquisición de Hojas Membretadas para realizar informes en la Unidad de Medicamentos para uso del Laboratorio Nacional de Salud|24.mayo.2016 Hora:10:05:01 a. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|27.mayo.2016 Hora:10:30:00 a. m.|LABORATORIO NACIONAL DE SALUD|1|01.junio.2016 Hora:4:00:55 p. m.|27.mayo.2016 Hora:11:00:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q1,031.25|4928806|77190513|2342855|METFORMINA TABLETA DE LIBERACION PROLONGADA 1000 MG.|25.mayo.2016 Hora:12:52:28 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|27.mayo.2016 Hora:10:30:00 a. m.|CONSULTORIO IGSS FCA. SANTA LEONARDA VILLA CANALES|1|01.junio.2016 Hora:2:25:49 p. m.|27.mayo.2016 Hora:11:00:00 a. m.
1. Papelería y artículos de librería~2. Otros tipos de bienes o servicios|Terminado adjudicado|Q29.44|4854381|66658675|2342855|P- 888, C- S/C, MARCADOR FLUORESCENTE, MARCADOR Y P-843 C-S/C, MARCADOR FLUORESCENTE, MARCADOR.|11.mayo.2016 Hora:3:11:13 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|13.mayo.2016 Hora:9:30:00 a. m.|UNIDAD PERIFERICA ZONA 5|1|01.junio.2016 Hora:3:03:59 p. m.|13.mayo.2016 Hora:10:00:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q15,400.00|4928598|75675285|2342855|Código 210 Sucralfato, Suspensión 1 g/5 ml frasco 200 ml -240 ml.|25.mayo.2016 Hora:10:12:10 a. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|30.mayo.2016 Hora:10:00:00 a. m.|CONSULTORIO SOLOLA Y SALA ANEXA HOSPITAL NACIONAL|1|01.junio.2016 Hora:4:13:42 p. m.|30.mayo.2016 Hora:10:30:00 a. m.
1. Construcción y materiales afines~2. Otros tipos de bienes o servicios|Terminado adjudicado|Q84,550.00|4952227|25648888|6945554|MANTENIMIENTO DE CAMINO RURAL QUE CONDUCE DE LA RUTA AL CEMENTERIO, CANTON SAN PABLO I, SAN PEDRO JOCOPILAS, EL QUICHE|30.mayo.2016 Hora:6:39:14 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|01.junio.2016 Hora:8:30:00 a. m.|DIRECCIÓN MUNICIPALIDAD DE PLANIFICACIÓN|1|01.junio.2016 Hora:10:52:25 a. m.|01.junio.2016 Hora:9:00:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q378.00|4928989|84449497|2342855|CODIGO IGSS 29, Penicilina G benzatínica, Polvo para uso parenteral 1,200,000 UI, vial|25.mayo.2016 Hora:12:04:28 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|27.mayo.2016 Hora:12:30:00 p. m.|"CENTRO DE ATENCIÓN MÉDICA INTEGRAL PARA PENSIONADOS ""CAMIP 3 ZUNIL"""|1|01.junio.2016 Hora:11:47:30 a. m.|27.mayo.2016 Hora:1:00:00 p. m.
Muebles y mobiliario de oficina|Terminado adjudicado|Q26,500.00|4946251|4863461|2835126|Compra de una fotocopiadora Multifuncional|30.mayo.2016 Hora:9:48:04 a. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|01.junio.2016 Hora:9:00:00 a. m.|MUNICIPALIDAD DE SAYAXCHE|1|01.junio.2016 Hora:4:34:12 p. m.|01.junio.2016 Hora:9:30:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q89,750.89|4883624|7950837|2342855|P-1001 C-10853 CIANOCOBALAMINA, CLORHIDRATO DE PIRIDOXINA, DICLOFENACO SODICO, TIAMINA MONONITRATO, TABLETAS DE LIBERACION PROLONGADA 1 MG/ 100 MG/ 100 MG/ 100 MG|18.mayo.2016 Hora:12:06:38 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|20.mayo.2016 Hora:1:30:00 p. m.|UNIDAD PERIFERICA ZONA 5|1|01.junio.2016 Hora:3:01:08 p. m.|20.mayo.2016 Hora:2:00:00 p. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q65,408.00|4940970|359815|2318024|"ADQUISICIÓN VENDA DE YESO 5""*5 YDAS, TERMÓMETRO CLINICO DIGITAL Y NEGRO MONOFILAMENTO NO ABSORBIBLE"|27.mayo.2016 Hora:4:06:43 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|31.mayo.2016 Hora:9:30:00 a. m.|"HOSPITAL REGIONAL DE HUEHUETENANGO ""DR. JORGE VIDES MOLINA"""|3|01.junio.2016 Hora:4:05:50 p. m.|31.mayo.2016 Hora:10:00:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q2,925.00|4940970|19554648|2318024|"ADQUISICIÓN VENDA DE YESO 5""*5 YDAS, TERMÓMETRO CLINICO DIGITAL Y NEGRO MONOFILAMENTO NO ABSORBIBLE"|27.mayo.2016 Hora:4:06:43 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|31.mayo.2016 Hora:9:30:00 a. m.|"HOSPITAL REGIONAL DE HUEHUETENANGO ""DR. JORGE VIDES MOLINA"""|3|01.junio.2016 Hora:4:05:50 p. m.|31.mayo.2016 Hora:10:00:00 a. m.
Alimentos y semillas|Terminado adjudicado|Q85,025.00|4933206|80433138|2318024|SUMINISTRO DE PRODUCTOS LÁCTEOS PASTEURIZADOS, PARA EL HOGAR DE ANCIANOS FRAY RODRIGO DE LA CRUZ, ANTIGUA GUATEMALA SACATEPEQUEZ.|25.mayo.2016 Hora:5:09:25 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|27.mayo.2016 Hora:11:00:00 a. m.|HOGAR FRAY RODRIGO DE LA CRUZ|2|01.junio.2016 Hora:8:32:04 a. m.|27.mayo.2016 Hora:11:30:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q450.00|4742605|2358033K|2342855|Metronidazol, Tableta 500 mg|15.abril.2016 Hora:9:45:19 a. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|21.abril.2016 Hora:12:00:00 p. m.|HOSPITAL DE QUETZALTENANGO|1|01.junio.2016 Hora:4:01:32 p. m.|21.abril.2016 Hora:12:30:00 p. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q84,803.57|4712153|320811|2342855|Evento No. 544a/2016, Compra Irbesartán, Tableta 150 mg|01.abril.2016 Hora:7:26:22 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|29.abril.2016 Hora:8:30:00 a. m.|"UNIDAD DE CONSULTA EXTERNA DE ESPECIALIDADES MEDICO-QUIRURGICAS ""GERONA"""|1|01.junio.2016 Hora:10:54:32 a. m.|29.abril.2016 Hora:9:00:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q1,071.43|4884485|78981557|2342855|OXIBUTININA CLORHIDRATO, TABLETA 5 MG|17.mayo.2016 Hora:9:29:19 a. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|19.mayo.2016 Hora:12:00:00 p. m.|HOSPITAL DE QUETZALTENANGO|1|01.junio.2016 Hora:10:24:24 a. m.|19.mayo.2016 Hora:12:30:00 p. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q29,568.00|4940741|5999030|2318024|MSPAS No. 2016-HMA-CD80 ADQUISICIÓN DE PRODUCTOS MEDICINALES Y FARMACEUTICOS.|27.mayo.2016 Hora:10:40:38 a. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|31.mayo.2016 Hora:9:30:00 a. m.|HOSPITAL NACIONAL MAZATENANGO|5|01.junio.2016 Hora:2:33:17 p. m.|31.mayo.2016 Hora:10:00:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q16,640.00|4940741|45334544|2318024|MSPAS No. 2016-HMA-CD80 ADQUISICIÓN DE PRODUCTOS MEDICINALES Y FARMACEUTICOS.|27.mayo.2016 Hora:10:40:38 a. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|31.mayo.2016 Hora:9:30:00 a. m.|HOSPITAL NACIONAL MAZATENANGO|5|01.junio.2016 Hora:2:33:17 p. m.|31.mayo.2016 Hora:10:00:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q13,824.40|4940741|8163294|2318024|MSPAS No. 2016-HMA-CD80 ADQUISICIÓN DE PRODUCTOS MEDICINALES Y FARMACEUTICOS.|27.mayo.2016 Hora:10:40:38 a. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|31.mayo.2016 Hora:9:30:00 a. m.|HOSPITAL NACIONAL MAZATENANGO|5|01.junio.2016 Hora:2:33:17 p. m.|31.mayo.2016 Hora:10:00:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q12,564.00|4940741|77190513|2318024|MSPAS No. 2016-HMA-CD80 ADQUISICIÓN DE PRODUCTOS MEDICINALES Y FARMACEUTICOS.|27.mayo.2016 Hora:10:40:38 a. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|31.mayo.2016 Hora:9:30:00 a. m.|HOSPITAL NACIONAL MAZATENANGO|5|01.junio.2016 Hora:2:33:17 p. m.|31.mayo.2016 Hora:10:00:00 a. m.
Transporte, repuestos y combustibles|Terminado adjudicado|Q43,620.00|4915828|5040701|6632580|ADQUISICIÓN DE 40 LLANTAS DOBLE PROPÓSITO PARA LOS VEHICULOS AL SERVICIO DE CONAP OFICINAS CENTRALES Y REGIONALES.|23.mayo.2016 Hora:2:30:57 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|25.mayo.2016 Hora:8:00:00 a. m.|DEPARTAMENTO DE COMPRAS|2|01.junio.2016 Hora:10:12:52 a. m.|25.mayo.2016 Hora:8:30:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q10,285.71|4931890|4751124|2342855|CARVEDILOL, TABLETA 12.5 MG. COD. IGSS 642.|25.mayo.2016 Hora:3:38:02 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|31.mayo.2016 Hora:8:00:00 a. m.|HOSPITAL DE RETALHULEU|1|01.junio.2016 Hora:10:18:52 a. m.|31.mayo.2016 Hora:8:30:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q74,000.00|4855310|5801338|24128686|5 IMPLANTES PARA ARTROPLASTIA TOTAL DE RODILLA|17.mayo.2016 Hora:5:06:26 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|19.mayo.2016 Hora:9:00:00 a. m.|FUNDACIÓN GUATEMALTECO AMERICANA DE CIRUGÍA ORTOPÉDICA AVANZADA (FUNDAORTO)|1|01.junio.2016 Hora:3:15:15 p. m.|19.mayo.2016 Hora:9:30:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q7,480.00|4931483|39796558|2342855|LANSOPRAZOL, CAPSULA CON GRANULOS DE LIBERACIÓN PROLONGADA 30 MG. COD. IGSS 150.|25.mayo.2016 Hora:3:30:33 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|31.mayo.2016 Hora:8:00:00 a. m.|HOSPITAL DE RETALHULEU|1|01.junio.2016 Hora:10:25:55 a. m.|31.mayo.2016 Hora:8:30:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q89,891.79|4931718|320811|2342855|IRBESARTAN, TABLETA DE 150 MG. COD. IGSS 759|25.mayo.2016 Hora:3:33:25 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|31.mayo.2016 Hora:8:00:00 a. m.|HOSPITAL DE RETALHULEU|1|01.junio.2016 Hora:10:20:37 a. m.|31.mayo.2016 Hora:8:30:00 a. m.
Transporte, repuestos y combustibles|Terminado adjudicado|Q3,050,000.00|4356365|14939509|835782K|EVENTO DE LICITACIÓN PUBLICA 01-2015, SUMINISTRO DE COMBUSTIBLE (DIESEL, GASOLINA, REGULAR Y SÚPER) MEDIANTE MECANISMO DE CUPONES POR VALOR DE TRES MILLONES CINCUENTA MIL QUETZALES (Q 3,050,000.00)|24.noviembre.2015 Hora:5:01:30 p. m.|Licitación Pública (Art. 17 LCE)|Sólo en papel.|07.enero.2016 Hora:10:00:00 a. m.|UNIDAD COMPRADORA EMETRA|1|01.junio.2016 Hora:10:34:42 a. m.|07.enero.2016 Hora:10:30:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q1,964.29|4770366|65488180|2342855|MATERIAL DE OSTEOSINTESIS PARA EL PACIENTE LUIS FERNANDO GOMEZ CON AFILIACION NUMERO 172264749 FECHA DE CIRUGIA 28/04/2016 SOLICITA DR DIEGO ORDOÑEZ.|19.abril.2016 Hora:10:29:49 a. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|22.abril.2016 Hora:8:30:00 a. m.|HOSPITAL DE ESCUINTLA|4|01.junio.2016 Hora:2:58:40 p. m.|22.abril.2016 Hora:9:00:00 a. m.
1. Computación y telecomunicaciones~2. Otros tipos de bienes o servicios|Terminado adjudicado|Q1,750.00|4932137|7127170|3225399|TONER PARA IMPRESORA HP COLOR LASER JET CP352dn REQUERIDOS POR LA DIGECADE.|25.mayo.2016 Hora:4:41:37 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|27.mayo.2016 Hora:8:00:00 a. m.|DIRECCIÓN GENERAL DE GESTIÓN DE CALIDAD EDUCATIVA -DIGECADE-|1|01.junio.2016 Hora:4:01:55 p. m.|27.mayo.2016 Hora:8:30:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q84,803.57|4946553|320811|2342855|10000 unidades de irbesartan tableta de 150 mg|30.mayo.2016 Hora:10:08:32 a. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|01.junio.2016 Hora:9:00:00 a. m.|CONSULTORIO DE TECUN UMAN, SAN MARCOS|1|01.junio.2016 Hora:3:53:50 p. m.|01.junio.2016 Hora:9:30:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q80,522.91|4924959|8163294|2318024|HEPARINA SÓDICA  SOLUCIÓN INYECTABLE 5000 UI/ML VIAL 5ML|24.mayo.2016 Hora:3:46:23 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|26.mayo.2016 Hora:8:00:00 a. m.|HOSPITAL GENERAL SAN JUAN DE DIOS|1|01.junio.2016 Hora:10:13:41 a. m.|26.mayo.2016 Hora:8:30:00 a. m.
1. Computación y telecomunicaciones~2. Papelería y artículos de librería~3. Otros tipos de bienes o servicios|Terminado adjudicado|Q21,146.25|4889983|4863461|3378284|ADQUISICIONES DE TAMBORES DE TRANSFERENCIA DE IMAGEN; USO IMPRESORA KONICA MINOLTA BIZHUB COLORES: NEGRO, AMARILLO, MAGENTA Y CIAN.|18.mayo.2016 Hora:2:59:58 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|24.mayo.2016 Hora:9:00:00 a. m.|TALLER NACIONAL DE GRABADOS EN ACERO|2|01.junio.2016 Hora:2:23:15 p. m.|24.mayo.2016 Hora:9:30:00 a. m.
1. Textiles, ropa y calzado~2. Otros tipos de bienes o servicios|Terminado adjudicado|Q11,614.40|4898338|29512905|6180221|17 Rollos de Nylon|23.mayo.2016 Hora:9:23:55 a. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|25.mayo.2016 Hora:10:00:00 a. m.|FEDERACION NACIONAL DE BADMINTON DE GUATEMALA|2|01.junio.2016 Hora:5:46:07 p. m.|25.mayo.2016 Hora:10:30:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q81,000.00|4902920|1700510|2342855|PEDIDO  1476/2016|20.mayo.2016 Hora:7:52:11 a. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|27.mayo.2016 Hora:8:00:00 a. m.|POLICLINICA|1|01.junio.2016 Hora:8:39:29 a. m.|27.mayo.2016 Hora:8:30:00 a. m.
1. Construcción y materiales afines~2. Limpieza, fumigación y artículos afines~3. Otros tipos de bienes o servicios|Terminado adjudicado|Q86,400.00|4937309|4751140|3306518|COMPRA DE CARBÓN ACTIVADO EN POLVO|26.mayo.2016 Hora:3:03:26 p. m.|Adquisición Directa por Ausencia de Oferta (Art. 32 LCE)|Sólo en papel.|27.mayo.2016 Hora:3:00:00 p. m.|DIRECCIÓN DE FUENTES DE PRODUCCIÓN DE AGUA SUPERFICIAL|1|01.junio.2016 Hora:10:53:39 a. m.|27.mayo.2016 Hora:3:30:00 p. m.
Alimentos y semillas|Terminado adjudicado|Q37,505.85|4878167|571043K|2342855|CARNE DE CERDO CORRESPONDIENTE A LOS MESES DE JUNIO, JULIO, AGOSTO 2016.|16.mayo.2016 Hora:5:29:31 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|19.mayo.2016 Hora:11:30:00 a. m.|HOSPITAL GENERAL DE ACCIDENTES CEIBAL|1|01.junio.2016 Hora:10:51:30 a. m.|19.mayo.2016 Hora:12:00:00 p. m.
1. Construcción y materiales afines~2. Otros tipos de bienes o servicios|Terminado adjudicado|Q61,824.00|4934873|6654274|2360837|ADQUISICION DE MIL CIENTO CUATRO (1,104) MTS3 DE MATERIAL SELECTO PARA TRABAJOS DE CONSTRUCCION EN PARQUE DE AVENTURAS XEJUYUP|26.mayo.2016 Hora:11:23:29 a. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|30.mayo.2016 Hora:9:00:00 a. m.|DC OFICINAS CENTRALES|1|01.junio.2016 Hora:11:54:40 a. m.|30.mayo.2016 Hora:9:30:00 a. m.
